# Use tab as separator, start a row with '#' for comments
#Â gene ID	# source ID (optional, all are used if missing)
Solyc11g067270.1
Solyc12g035860.1
Solyc01g005730.3
Solyc09g091510.3
Solyc04g039830.2
Solyc09g084460.3
Solyc06g076140.3
Solyc03g098240.3
Solyc01g098610.3
Solyc02g012020.2
Solyc11g072860.2
Solyc02g012000.1
Solyc10g052790.1
Solyc06g054260.1
Solyc11g062110.1
Solyc01g096475.1
Solyc12g044630.2
Solyc10g007690.3
Solyc01g100030.3
Solyc09g061390.1
PGSC0003DMG400044817
PGSC0003DMG400036067
PGSC0003DMG400045454
PGSC0003DMG400046303
PGSC0003DMG400037250
PGSC0003DMG400040260
PGSC0003DMG400041047
PGSC0003DMG400041620
PGSC0003DMG400028361
PGSC0003DMG400028382
PGSC0003DMG400028516
PGSC0003DMG400028641
PGSC0003DMG400028951
PGSC0003DMG400028982
PGSC0003DMG400029008
PGSC0003DMG400029012
PGSC0003DMG400029087
PGSC0003DMG400029408
PGSC0003DMG400029575
PGSC0003DMG402029613
T459_35353
T459_31777
T459_31829
T459_32412
T459_32702
T459_03488
T459_02925
T459_02911
T459_00403
T459_02320
T459_03238
T459_01439
T459_06490
T459_05113
T459_06288
T459_09950
T459_09149
T459_09948
T459_09715
T459_09470
